idannonce,prix_bien
orpi-1-054038E21UPO,169000
hektor-immolandismunst-1151,265000
immo-facile-40381324,280000
immo-facile-47623658,221600
ag681391-365796250,158000
pericles-32194704,247500
hektor-ag-orim-1212,169500
immo-facile-50586985,156000
mgc-382343650-RK_WILLER-SUR-THUR-TM257_ppi,249800
ag681391-343130313,190000
hektor-robischung-2410,459000
ag681088-382101886,190000
ag671791-313921104,116000
ag671913-374900089,392500
iad-france-1000672,399000
ag680297-241122025,231000
immo-facile-37147750,166400
citya-immobilier-1273-TAPP488030A,98100
hektor-immoplusalsace-2179,357000
ag681158-374707342,404000
hektor-immoplusalsace-2193,489900
hektor-CGAIMMOBILIER-1744,235584
orpi-1-054041E2C4ES,96800
ag681108-273170714,355000
ag680775-353700655,61000
hektor-PAQUIN2020-47,399000
mgc-111006069,235228
ag681542-378877068,110300
immo-facile-40711859,672750
ag671791-312853560,85000
safti-1-684535,75000
immo-facile-51402276,750000
ag541392-325378275,238000
gedeon-22971827,480000
entities-1044602-2648705,932820
iad-france-917028,225000
hektor-CGAIMMOBILIER-814,207000
iad-france-1331955,338000
mgc-339674517-MK-HAUSGAUEN-2022114,385440
ag670426-338504847,249000
immo-facile-2069560,122340
entities-1044598-2732765,379450
ag671913-375786427,227000
hektor-agence-efco-immo-1359,288500
safti-1-681845,99000
152370047,445000
immo-facile-43999378,150000
hektor-robischung-2870,590000
iad-france-771570,239000
ag681158-309386607,235000
ag681237-377653798,155000
ag681391-365796679,424000
ag681158-320676042,458000
hektor-immolandismunst-1082,181900
ag681158-289046450,572000
guy-hoquet-immo-facile-5636018,103400
hektor-MAYAIMMO2020-2362,305000
immo-facile-39611354,348400
ag681237-361748098,91800
ag681237-381278602,129900
ag671791-320486325,116000
hektor-robischung-2450,315000
mgc-381237362-CWE-230405-112434,235900
hektor-generalimmo-3011,376000
hektor-MAYAIMMO2020-2583,349500
apimo-82256911,220000
160340161,110000
ag681423-375579097,231000
ag743447-360799837,69900
hektor-agfreyimmo-908,220000
safti-1-706441,120000
mgc-242855670-SJ-200310-095112,219900
ag680286-376352974,182000
ag670426-343593633,159000
century-21-202_3185_924,312000
safti-1-748277,163000
iad-france-708179,180000
entities-1043690-3683557,318970
iad-france-1265685,294000
ag680632-251478637,126000
hektor-CGAIMMOBILIER-1047,148500
ag670426-338504733,210000
adapt-immo-670074197,177500
ag671474-283012595,88000
154289027,265000
hektor-A4IMMO2020-88,214200
ag671791-282034559,315000
160195543,345600
ag340369-344601405,56000
ag681212-348744291,85000
mgc-342833886-MK-ILLFURTH-20220509,405138
hektor-MAYAIMMO2020-2348,186375
guy-hoquet-immo-facile-5863220,165000
ag681075-379574827,565000
hektor-cpdelta-20,210686
entities-1043690-3670412,506230
immo-facile-51169395,156000
ag671791-321281826,150000
ag680632-236814595,76300
immo-facile-3513768,358000
mgc-118756865_DMSC5-DMBRU-DMSC5-DMBRU,388000
safti-1-774257,73000
orpi-1-054037E1PKVT,414635
hektor-308_troispourcent_admin-41162,349900
safti-1-724206,299915
hektor-alaingimmo-414,250000
ag681121-315462288,140000
immo-facile-3763023,56500
apimo-8158271,169803
mgc-365157220-MKI-FISLIS2-20220411,344385
guy-hoquet-immo-facile-5695377,139900
hektor-agence-efco-immo-1450,289000
immo-facile-3424917,735000
safti-1-771887,83000
immo-facile-49119692,405600
orpi-1-054041E15YAZ,203100
rodacom-5188497,569000
immo-facile-49441037,249000
ag670426-339235386,194000
hektor-girardi-pfastatt-3309,294000
ag681210-356684065,218400
immo-facile-38015103,166400
ag681108-343419738,135000
ag671791-372101557,99360
mgc-382817137-pp-230420-104123,283600
ag681141-369298300,474000
ag671791-309946968,447000
iad-france-684888,100000
ag671791-370645195,277000
orpi-1-054039E1Q7KC,66000
immo-facile-35867152,194400
entities-1044602-2659189,741000
ag681088-354599395,257000
hektor-amsignatureimmo-77,128400
ag440414-332440956,248000
guy-hoquet-immo-facile-2692344,14900
orpi-1-054041E1JT1Z,155860
safti-1-762856,135000
ag671791-289446242,185000
ag671791-319641750,106900
immo-facile-32380650,79000
hektor-cdrieux-708,208650
hektor-lifeimmo-1982,279000
iad-france-1212336,185000
mgc-347591017-MS-220616-101036,309000
immo-facile-45909833,380000
hektor-ba-immobilier-1221,351700
immo-facile-adresse-11003528,469000
immo-facile-50458415,134000
immo-facile-43356416,349520
ag680734-372752163,82000
ag680297-347823576,76000
apimo-4234800,238500
151822021,280500
adapt-immo-680091345,240000
144669101,248500
guy-hoquet-immo-facile-4812980,66000
entities-1043690-3639069,276620
guy-hoquet-immo-facile-2761907,195000
rodacom-4013139,275000
ag681088-329212374,219900
mgc-259368631-VM-BOLLWILLER-2020711,319000
entities-1043690-3678244,300915
guy-hoquet-immo-facile-1869165,126900
apimo-6883166,291500
160967683,406610
hektor-MAYAIMMO2020-2431,249500
ag681158-328486932,194000
apimo-6261187,125000
iad-france-773876,178000
ag671791-301648203,200000
ag681332-351828679,318000
ag670426-343593705,279900
mgc-295742763-CWE-210329-160005,267000
ag751938-381483046,320000
immo-facile-47725985,445000
ag680010-278689037,178500
snpi-5238935,175000
hektor-immolandismunst-1043,173000
immo-facile-49704165,150000
hektor-generalimmo-2714,266000
hektor-girardi-blotzheim-2677,180000
ag681423-370315600,183750
ag440414-357893452,195600
immo-facile-adresse-12907150,133750
gedeon-24842297,487000
safti-1-770848,116000
gedeon-25511659,166000
bouygues-immobilier-030-268C96,258000
ag340369-372108943,71500
gedeon-23728771,290000
rodacom-4429106,749000
century-21-202_3377_1091,273000
hektor-cpdelta-31,318091
ag340369-334117437,251000
ag680278-224668588,179900
orpi-1-054041E1KC3J,97200
mgc-303040898-SJ-210525-100833,449000
immo-facile-47596529,119800
guy-hoquet-immo-facile-2570834,240000
155141541,92650
gedeon-24848546,226000
rodacom-4489359,219500
mgc-355231200-C-MUN-518-AG,331000
ag681391-350348917,386900
apimo-4233624,330000
adapt-immo-680091450,199000
hektor-ag-orim-1048,472500
hektor-1_lerosenberg-2002,315000
ag671913-377325508,575000
hektor-ELSASS2020-4639,370000
immo-facile-51609661,255000
rodacom-4421187,369000
immo-facile-52049490,280000
entities-1042950-3885251,488500
ag681075-361988839,92000
guy-hoquet-immo-facile-5525905,295000
ag671913-378881797,410000
ag333464-359002015,153000
ag670426-343593819,545000
hektor-immolandismunst-1060,144450
safti-1-786982,330000
immo-facile-3234133,170200
orpi-1-054041E2GQD8,176550
hektor-cdrieux-885,169000
mgc-165885535_HAMOMUESPACH,244500
safti-1-756973,120000
ag681237-276785861,179500
immo-facile-35567047,525000
apimo-4581620,178000
ag671791-285089138,307000
citya-immobilier-1273-TAPP418977,98000
entities-1043690-3682719,260920
ag680575-181027573,255000
ag340378-271147424,163000
immo-facile-2508748,186170
immo-facile-50852782,156000
ag670547-299169717,179760
ag680010-278688746,304500
immo-facile-48734271,126750
hektor-MAYAIMMO2020-2436,599000
orpi-1-054037E1MDX9,329176
hektor-MAYAIMMO2020-815,159000
safti-1-624782,127200
hektor-MAYAIMMO2020-1610,465000
immo-facile-48000777,275600
ag680010-205568460,541000
visiteonline-p_4972596,168200
hektor-agence-efco-immo-1748,444200
apimo-6784714,135000
immo-facile-45835110,130000
ag671913-320340237,258000
guy-hoquet-immo-facile-2301159,110000
immo-facile-17739012,399900
guy-hoquet-immo-facile-5515553,221500
apimo-7951869,79000
ag333464-317862414,250000
rodacom-4188548,178500
entities-1044598-2732065,362300
orpi-1-054038E1KJBW,235000
orpi-1-054927E1N732,80660
immo-facile-48820537,249600
immo-facile-45270942,312000
iad-france-1137901,159000
hektor-moebel-immo-77,354000
hektor-dagon68390-2458,367500
guy-hoquet-immo-facile-6235673,289000
ag680278-249654769,873600
immo-facile-47563276,240000
iad-france-1013168,305000
guy-hoquet-immo-facile-5810561,56000
ag681332-322694757,290000
apimo-5526106,249000
hektor-cdrieux-712,175000
ag671791-291171653,162000
157673283,395000
ag681332-336216186,640500
guy-hoquet-immo-facile-3074507,147000
rodacom-4840694,223267
ag680575-379780693,169500
146172993,210000
mgc-345008721-LM-GALFINGUE440-20220527,310000
orpi-1-054038E1HOCI,180000
ag681158-378912910,205000
guy-hoquet-immo-facile-2728178,384000
ag681124-347803956,266000
ag681104-274454336,65000
ag671633-356860960,157000
ag333464-309805410,266500
ag681158-338317038,289000
mgc-382473251-CWE-230417-164457,289000
immo-facile-47187786,160000
guy-hoquet-immo-facile-5832930,242500
immo-facile-51908822,318000
hektor-moebel-immo-337,303200
ag681391-373948741,395000
apimo-8158463,522000
hektor-cdrieux-641,263000
ag671791-292692518,117000
gedeon-22757282,98000
ag680010-322488084,168000
visiteonline-p_5342861,178206
apimo-8050001,89900
orpi-1-054038E2A3PI,79000
ag681158-287033447,249000
hektor-MAYAIMMO2020-2176,357000
rodacom-4694578,167800
orpi-1-054048E1OKL4,197950
160967197,262100
hektor-robischung-2283,170000
rodacom-4999052,246450
150550529,377500
153896477,233800
guy-hoquet-immo-facile-2795265,141300
guy-hoquet-immo-facile-2798086,60000
ag671791-305374962,695000
hektor-1_lerosenberg-1584,950000
immo-facile-50593151,151000
iad-france-955379,173500
guy-hoquet-immo-facile-5771317,536000
ag250034-225346615,873000
immo-facile-35600591,468000
gedeon-23728762,398000
ag680010-222020011,208000
ag681237-361011028,239625
adapt-immo-7401422067,116630
ag671791-332232015,260000
immo-facile-47917572,197600
ag671791-282033776,112000
gedeon-22360705,145000
ag681154-252828250,771000
hektor-MAYAIMMO2020-1999,229000
hektor-immo-wittenheim-3078,243800
hektor-CGAIMMOBILIER-766,101000
entities-1044602-2637195,636700
hektor-immo-wittenheim-3243,106000
entities-1043690-3771597,324310
hektor-cdrieux-852,165000
guy-hoquet-immo-facile-762212,93500
hektor-girardi-pfastatt-2766,239000
safti-1-794626,375000
hektor-immo-wittenheim-3135,120000
century-21-202_3377_1178,75000
mgc-332038490-C-HEC-753-B-OS,400000
150444241,280000
guy-hoquet-immo-facile-2208637,199000
mgc-286275675-CWE-210125-115451,278000
ag681158-340587279,489000
157818463,319000
hektor-robischung-2679,575000
guy-hoquet-immo-facile-4663314,270000
immo-facile-34383385,475000
guy-hoquet-immo-facile-5504650,239000
ag681444-378311188,258400
immo-facile-50458448,349000
ag680633-280626941,180000
ag681391-371969557,296800
orpi-1-054041E2FW6M,215000
rodacom-4417791,159000
safti-1-767505,185000
entities-1044602-2716744,612600
hektor-alaingimmo-419,168000
ag681237-335701023,138240
immo-facile-38924787,256800
mgc-118756865_RFSOUL629-RF111TPG2-RFSOUL629-RF111TPG2,395000
mgc-376363402-RK_MSB_VOL_TM482b,274800
hektor-generalimmo-2729,255000
